generic_name,display_name,reaction_term,count
fluoxetine,Fluoxetine (Prozac),HALLUCINATION,1149
fluoxetine,Fluoxetine (Prozac),CARDIO-RESPIRATORY ARREST,1140
fluoxetine,Fluoxetine (Prozac),MUSCULAR WEAKNESS,1119
fluoxetine,Fluoxetine (Prozac),OEDEMA PERIPHERAL,1119
fluoxetine,Fluoxetine (Prozac),SLEEP DISORDER,1103
fluoxetine,Fluoxetine (Prozac),DYSPEPSIA,1082
fluoxetine,Fluoxetine (Prozac),STRESS,1079
fluoxetine,Fluoxetine (Prozac),COVID-19,1071
fluoxetine,Fluoxetine (Prozac),INTENTIONAL SELF-INJURY,1068
fluoxetine,Fluoxetine (Prozac),MUSCULOSKELETAL STIFFNESS,1061
fluoxetine,Fluoxetine (Prozac),AMNESIA,1060
fluoxetine,Fluoxetine (Prozac),SINUSITIS,1060
fluoxetine,Fluoxetine (Prozac),CEREBROVASCULAR ACCIDENT,1055
fluoxetine,Fluoxetine (Prozac),PANIC ATTACK,1051
fluoxetine,Fluoxetine (Prozac),URTICARIA,1044
fluoxetine,Fluoxetine (Prozac),CONTUSION,1032
fluoxetine,Fluoxetine (Prozac),DRY MOUTH,1009
fluoxetine,Fluoxetine (Prozac),EMOTIONAL DISTRESS,1006
fluoxetine,Fluoxetine (Prozac),ERYTHEMA,1001
fluoxetine,Fluoxetine (Prozac),SEPSIS,984
fluoxetine,Fluoxetine (Prozac),MYOCARDIAL INFARCTION,967
fluoxetine,Fluoxetine (Prozac),HYPONATRAEMIA,965
fluoxetine,Fluoxetine (Prozac),INFLUENZA,963
fluoxetine,Fluoxetine (Prozac),PRODUCT USE ISSUE,953
fluoxetine,Fluoxetine (Prozac),HEART RATE INCREASED,952
fluoxetine,Fluoxetine (Prozac),PULMONARY EMBOLISM,952
fluoxetine,Fluoxetine (Prozac),CHEST DISCOMFORT,947
fluoxetine,Fluoxetine (Prozac),INJURY,931
fluoxetine,Fluoxetine (Prozac),WITHDRAWAL SYNDROME,927
fluoxetine,Fluoxetine (Prozac),MATERNAL EXPOSURE DURING PREGNANCY,925
fluoxetine,Fluoxetine (Prozac),INFLUENZA LIKE ILLNESS,922
fluoxetine,Fluoxetine (Prozac),LETHARGY,900
fluoxetine,Fluoxetine (Prozac),INCORRECT DOSE ADMINISTERED,897
fluoxetine,Fluoxetine (Prozac),PERIPHERAL SWELLING,882
fluoxetine,Fluoxetine (Prozac),INTENTIONAL PRODUCT MISUSE,878
fluoxetine,Fluoxetine (Prozac),DYSKINESIA,873
fluoxetine,Fluoxetine (Prozac),ASTHMA,871
fluoxetine,Fluoxetine (Prozac),ABDOMINAL DISTENSION,868
fluoxetine,Fluoxetine (Prozac),RESTLESSNESS,868
fluoxetine,Fluoxetine (Prozac),CONVULSION,867
fluoxetine,Fluoxetine (Prozac),BRONCHITIS,862
fluoxetine,Fluoxetine (Prozac),FLUSHING,861
fluoxetine,Fluoxetine (Prozac),BLOOD GLUCOSE INCREASED,860
fluoxetine,Fluoxetine (Prozac),ABNORMAL BEHAVIOUR,855
fluoxetine,Fluoxetine (Prozac),DRUG DEPENDENCE,851
fluoxetine,Fluoxetine (Prozac),METABOLIC ACIDOSIS,840
fluoxetine,Fluoxetine (Prozac),DYSPHAGIA,838
fluoxetine,Fluoxetine (Prozac),CRYING,834
fluoxetine,Fluoxetine (Prozac),MENTAL DISORDER,831
fluoxetine,Fluoxetine (Prozac),OROPHARYNGEAL PAIN,828
fluoxetine,Fluoxetine (Prozac),NIGHTMARE,818
fluoxetine,Fluoxetine (Prozac),DRUG EXPOSURE DURING PREGNANCY,817
fluoxetine,Fluoxetine (Prozac),VISUAL IMPAIRMENT,809
fluoxetine,Fluoxetine (Prozac),PSORIASIS,801
fluoxetine,Fluoxetine (Prozac),NERVOUSNESS,800
fluoxetine,Fluoxetine (Prozac),ANGER,796
fluoxetine,Fluoxetine (Prozac),TINNITUS,783
fluoxetine,Fluoxetine (Prozac),BLOOD CHOLESTEROL INCREASED,774
fluoxetine,Fluoxetine (Prozac),RHEUMATOID ARTHRITIS,765
fluoxetine,Fluoxetine (Prozac),MULTIPLE SCLEROSIS RELAPSE,762
fluoxetine,Fluoxetine (Prozac),TYPE 2 DIABETES MELLITUS,760
fluoxetine,Fluoxetine (Prozac),DEPRESSED LEVEL OF CONSCIOUSNESS,758
fluoxetine,Fluoxetine (Prozac),PRODUCT SUBSTITUTION ISSUE,756
fluoxetine,Fluoxetine (Prozac),WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,753
fluoxetine,Fluoxetine (Prozac),SEDATION,745
fluoxetine,Fluoxetine (Prozac),SPEECH DISORDER,739
fluoxetine,Fluoxetine (Prozac),INFECTION,736
fluoxetine,Fluoxetine (Prozac),ARTHRITIS,719
fluoxetine,Fluoxetine (Prozac),BRADYCARDIA,716
fluoxetine,Fluoxetine (Prozac),SWELLING,709
fluoxetine,Fluoxetine (Prozac),VERTIGO,708
fluoxetine,Fluoxetine (Prozac),DRUG INTOLERANCE,707
fluoxetine,Fluoxetine (Prozac),EXPOSURE DURING PREGNANCY,703
fluoxetine,Fluoxetine (Prozac),INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,702
fluoxetine,Fluoxetine (Prozac),GENERAL PHYSICAL HEALTH DETERIORATION,701
fluoxetine,Fluoxetine (Prozac),JOINT SWELLING,701
fluoxetine,Fluoxetine (Prozac),AKATHISIA,700
fluoxetine,Fluoxetine (Prozac),SWELLING FACE,692
fluoxetine,Fluoxetine (Prozac),PRODUCT QUALITY ISSUE,690
fluoxetine,Fluoxetine (Prozac),DYSPHONIA,681
fluoxetine,Fluoxetine (Prozac),CARDIAC FAILURE CONGESTIVE,671
fluoxetine,Fluoxetine (Prozac),MOOD SWINGS,670
fluoxetine,Fluoxetine (Prozac),HYPOKALAEMIA,661
fluoxetine,Fluoxetine (Prozac),NEUROPATHY PERIPHERAL,657
fluoxetine,Fluoxetine (Prozac),OBESITY,657
fluoxetine,Fluoxetine (Prozac),COGNITIVE DISORDER,654
fluoxetine,Fluoxetine (Prozac),WHITE BLOOD CELL COUNT DECREASED,652
fluoxetine,Fluoxetine (Prozac),MUSCLE TWITCHING,648
fluoxetine,Fluoxetine (Prozac),NECK PAIN,647
fluoxetine,Fluoxetine (Prozac),DEEP VEIN THROMBOSIS,645
fluoxetine,Fluoxetine (Prozac),RESPIRATORY ARREST,645
fluoxetine,Fluoxetine (Prozac),DYSARTHRIA,637
fluoxetine,Fluoxetine (Prozac),HOT FLUSH,634
fluoxetine,Fluoxetine (Prozac),EYE PAIN,628
fluoxetine,Fluoxetine (Prozac),HAEMOGLOBIN DECREASED,627
fluoxetine,Fluoxetine (Prozac),INTENTIONAL PRODUCT USE ISSUE,622
fluoxetine,Fluoxetine (Prozac),TREATMENT NONCOMPLIANCE,622
fluoxetine,Fluoxetine (Prozac),FEELING HOT,621
fluoxetine,Fluoxetine (Prozac),UNEVALUABLE EVENT,621
fluoxetine,Fluoxetine (Prozac),DISORIENTATION,620
fluoxetine,Fluoxetine (Prozac),MANIA,620
fluoxetine,Fluoxetine (Prozac),RHABDOMYOLYSIS,617
fluoxetine,Fluoxetine (Prozac),ILLNESS,615
fluoxetine,Fluoxetine (Prozac),PSYCHOTIC DISORDER,613
fluoxetine,Fluoxetine (Prozac),CARDIAC DISORDER,612
fluoxetine,Fluoxetine (Prozac),OBSESSIVE-COMPULSIVE DISORDER,610
fluoxetine,Fluoxetine (Prozac),DYSGEUSIA,602
fluoxetine,Fluoxetine (Prozac),PANCREATITIS,600
fluoxetine,Fluoxetine (Prozac),RESPIRATORY FAILURE,599
fluoxetine,Fluoxetine (Prozac),GASTROINTESTINAL DISORDER,594
fluoxetine,Fluoxetine (Prozac),HOSPITALISATION,593
fluoxetine,Fluoxetine (Prozac),MOBILITY DECREASED,589
fluoxetine,Fluoxetine (Prozac),ABNORMAL DREAMS,585
fluoxetine,Fluoxetine (Prozac),MAJOR DEPRESSION,581
fluoxetine,Fluoxetine (Prozac),INJECTION SITE ERYTHEMA,574
fluoxetine,Fluoxetine (Prozac),ROAD TRAFFIC ACCIDENT,562
fluoxetine,Fluoxetine (Prozac),HYPERSOMNIA,560
fluoxetine,Fluoxetine (Prozac),EPISTAXIS,559
fluoxetine,Fluoxetine (Prozac),DRY SKIN,558
fluoxetine,Fluoxetine (Prozac),NEUTROPENIA,558
fluoxetine,Fluoxetine (Prozac),ATRIAL FIBRILLATION,557
fluoxetine,Fluoxetine (Prozac),CHRONIC OBSTRUCTIVE PULMONARY DISEASE,555
fluoxetine,Fluoxetine (Prozac),NASAL CONGESTION,553
fluoxetine,Fluoxetine (Prozac),RESTLESS LEGS SYNDROME,553
fluoxetine,Fluoxetine (Prozac),ALANINE AMINOTRANSFERASE INCREASED,550
fluoxetine,Fluoxetine (Prozac),TARDIVE DYSKINESIA,545
fluoxetine,Fluoxetine (Prozac),SLEEP APNOEA SYNDROME,543
fluoxetine,Fluoxetine (Prozac),OSTEOARTHRITIS,535
fluoxetine,Fluoxetine (Prozac),SWOLLEN TONGUE,535
fluoxetine,Fluoxetine (Prozac),MULTIPLE SCLEROSIS,533
fluoxetine,Fluoxetine (Prozac),FEAR,532
fluoxetine,Fluoxetine (Prozac),DRUG INEFFECTIVE FOR UNAPPROVED INDICATION,529
fluoxetine,Fluoxetine (Prozac),GASTROINTESTINAL HAEMORRHAGE,527
fluoxetine,Fluoxetine (Prozac),BLOOD PRESSURE DECREASED,524
fluoxetine,Fluoxetine (Prozac),PARANOIA,523
fluoxetine,Fluoxetine (Prozac),EMOTIONAL DISORDER,517
fluoxetine,Fluoxetine (Prozac),UPPER RESPIRATORY TRACT INFECTION,517
fluoxetine,Fluoxetine (Prozac),PREMATURE BABY,516
fluoxetine,Fluoxetine (Prozac),URINARY RETENTION,515
fluoxetine,Fluoxetine (Prozac),"HALLUCINATION, AUDITORY",512
fluoxetine,Fluoxetine (Prozac),URINARY INCONTINENCE,508
fluoxetine,Fluoxetine (Prozac),HYPOGLYCAEMIA,503
fluoxetine,Fluoxetine (Prozac),ADVERSE DRUG REACTION,500
fluoxetine,Fluoxetine (Prozac),ANHEDONIA,500
fluoxetine,Fluoxetine (Prozac),THROMBOCYTOPENIA,498
fluoxetine,Fluoxetine (Prozac),BURNING SENSATION,496
fluoxetine,Fluoxetine (Prozac),WHEEZING,490
fluoxetine,Fluoxetine (Prozac),DYSURIA,489
fluoxetine,Fluoxetine (Prozac),THROMBOSIS,488
fluoxetine,Fluoxetine (Prozac),MOOD ALTERED,484
fluoxetine,Fluoxetine (Prozac),POLLAKIURIA,484
fluoxetine,Fluoxetine (Prozac),MEDICATION ERROR,482
fluoxetine,Fluoxetine (Prozac),RHINORRHOEA,481
fluoxetine,Fluoxetine (Prozac),NEPHROLITHIASIS,480
fluoxetine,Fluoxetine (Prozac),MUSCULOSKELETAL PAIN,479
fluoxetine,Fluoxetine (Prozac),HAEMORRHAGE,478
fluoxetine,Fluoxetine (Prozac),CELLULITIS,477
fluoxetine,Fluoxetine (Prozac),INCREASED APPETITE,474
fluoxetine,Fluoxetine (Prozac),MENTAL STATUS CHANGES,474
fluoxetine,Fluoxetine (Prozac),HAEMATEMESIS,471
fluoxetine,Fluoxetine (Prozac),THERAPEUTIC RESPONSE UNEXPECTED,470
